gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MAGEC2,133.3299536651295,11.189075993908288,1.1993158568192315,9.329548951002302,1.063223990896652e-20,9.567371757259202e-19
PAGE5,76.46696910741227,10.712324011551042,1.2035983108908124,8.900248458825594,5.572181079011651e-19,4.229285438969843e-17
PGR,1731.8109587140784,9.444360419071616,0.31559022312304325,29.92602345412146,9.026729463781094e-197,7.878980812461328e-193
FAM133A,27.15513682934518,9.23993486572104,1.2419358229645194,7.43994552284125,1.0072683013202083e-13,4.05158588390481e-12
ZFP3,61.36186650222038,9.154668906687322,1.2138694466573603,7.541724467896106,4.6379689087304454e-14,1.9604121849808083e-12
GREB1,2342.974998638998,9.078889422147837,0.3033480639015136,29.928951269309675,8.268642525254912e-197,7.878980812461328e-193
LOC102724756,18.040524621253077,8.658946285193451,1.2944952890261843,6.689051986977376,2.2462093289011137e-11,5.98657652742393e-10
CYP2B7P,1838.9017485431148,8.580743171548944,0.3364914728731748,25.50062590971827,1.9399867197700096e-143,8.466587041756264e-140
CTAG2,153.4933897567263,8.31020910651007,0.6749427487385955,12.312465200998261,7.76156519310706e-35,2.4635207922921806e-32
TMLHE,188.2067063151639,8.253795852175108,1.0477457211382244,7.877670779899297,3.3354013618810016e-15,1.6173917103987956e-13
DNAJC15,68.49982049687085,7.872389409674895,1.224800262391406,6.427488343531345,1.2972954031319844e-10,3.060389980064196e-9
CES4A,17.901481782732404,7.682819383883521,1.2582816746613112,6.1058024912835895,1.022854333203517e-9,2.113132318903408e-8
ADRA2A,134.42605803932818,7.6739077715186514,0.5860650350816923,13.09395256867521,3.565591638213669e-39,1.7784152350941716e-36
CXCL12,31.502391180433204,7.6136724515971785,1.0849834373651048,7.017316752859447,2.2616948895806075e-12,7.298042086397164e-11
KCNH1-IT1,8.630800614458296,7.549349836362096,1.3334794526076887,5.661391948409065,1.501500378560288e-8,2.482167813307476e-7
CYP2B6,8.224278653513071,7.513194301448036,1.364588870846942,5.505829969714553,3.674330357631335e-8,5.582487820119253e-7
ZNF160,43.7142528783561,7.469954598227652,0.8795858518442617,8.492581574118216,2.0209686096592322e-17,1.2690665114683892e-15
PLCL1,43.785312784278524,7.464680181000716,0.9199664251147821,8.114078924205701,4.894832104305787e-16,2.6131218362344378e-14
GJA1,15.334421874025999,7.455894589501963,1.3961283246636313,5.340407796180418,9.273773531622043e-8,1.2899782035181355e-6
KCNH1,371.7773080278086,7.332304091839683,0.3846275988764498,19.063385241356453,5.087417030755604e-81,8.881103910590057e-78
KCNE4,12.302176617833013,7.123991355255658,1.3103238724834032,5.436817190664358,5.4240737777568564e-8,7.983815846399783e-7
TRH,42.99240588382397,7.03312687787978,0.7794405404880012,9.023301345701622,1.825046804522512e-19,1.461460645254564e-17
SSTR2,51.28117759003498,6.902092118630986,0.7148321045850161,9.65554299304713,4.656856037397538e-22,4.7264381305144664e-20
HPGD,40.192598699119785,6.897520511412062,0.8917470141730545,7.734840040713064,1.0353319605069425e-14,4.679709354538426e-13
NPY5R,5.391975256449466,6.861654759793372,1.431283156099287,4.794058206129958,1.6344081899292162e-6,1.7888315844259765e-5
PAGE2,538.6881514666896,6.758734128661852,0.5456332028499731,12.386955363712037,3.0749755720695934e-35,1.0128273313513e-32
ELOVL2-AS1,5.466204265834342,6.709127911751984,1.412811972476781,4.748776229571657,2.046512254294282e-6,2.2025872024177114e-5
PDZK1,188.4706215564954,6.637936058248255,0.6028717951877842,11.010526800612146,3.4000975837669355e-28,5.495879955538833e-26
OLFML3,32.3335043074637,6.615571037983576,0.8294204352497877,7.976137019087594,1.5098432431226522e-15,7.63980681020062e-14
LOC101928206,4.177044852487484,6.523551900241607,1.5104786153069825,4.31886412302222,1.568342984332618e-5,1.3702984723470727e-4
PCDH19,155.32499987217986,6.49206057460992,0.5007483849842193,12.964715951733949,1.9394751628356134e-38,8.909846820426659e-36
MPPED2,74.16535303371056,6.400035246910999,0.590249855283455,10.842925567237145,2.1546837202543496e-27,3.2148986072205283e-25
ACOT6,25.98098241738959,6.32560571056828,0.8896143271047099,7.110503414614792,1.1562044189195114e-12,3.934475739001542e-11
FAM101A,159.77992721435896,6.2582178798926735,0.49659692851912535,12.602208190362683,2.053147267969036e-36,7.467039970194888e-34
SCIN,105.25145973480069,6.174744853570418,0.5389513887354018,11.456960651050311,2.1699667908330305e-30,4.456601207949672e-28
NPY1R,81.94868294691233,6.148029342616396,0.5504853201712939,11.16838018623879,5.823312699203829e-29,1.0165756979000125e-26
TPTE,23.15867704449911,6.136655065643365,0.8383101982599367,7.320267698497637,2.4747676995285947e-13,9.432755399709756e-12
WNT6,7.404416890855478,6.134109177225042,1.5198072525615642,4.036109952026013,5.43447550656981e-5,4.1301540669651357e-4
GFRA1,179.54496537085228,6.115943906395666,0.3717055067109623,16.453735002509433,7.885209384538293e-61,8.603256264117811e-58
