Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa00980:Metabolism of xenobiotics by cytochrome P450	21	0.0074377882142933035	4.36660418580627E-5	GSTA4, CYP2F1, CYP2B6, ADH1C, EPHX1, CBR3, UGT1A1, UGT1A7, UGT1A10, AKR1C2, UGT1A6, UGT1A9, UGT1A8, UGT1A3, UGT1A5, ALDH1A3, UGT1A4, CYP2A6, AKR7A3, UGT2B15, GSTP1	717	74	6879	2.7226619925364695	0.011893463614434219	0.011893463614434219	0.05752851422233807
KEGG_PATHWAY	hsa04145:Phagosome	33	0.011687952908175193	5.294994374826461E-5	HLA-DRB1, C3, TLR2, C1R, ITGB2, ATP6V1B1, MARCO, TAP2, TAP1, SFTPD, TUBA1A, TCIRG1, DYNC1I1, OLR1, NCF2, NCF4, HLA-A, HLA-C, HLA-B, CTSS, HLA-E, CTSL, CYBA, TUBA8, CD36, FCGR2B, ITGA5, FCGR2C, SFTPA2, ATP6V1E2, TUBA4A, FCGR2A, CLEC7A	717	150	6879	2.11071129707113	0.014403925148254837	0.007228085181825272	0.0697557937353599
KEGG_PATHWAY	hsa00830:Retinol metabolism	18	0.006375247040822832	2.0356098770325258E-4	CYP2B6, ADH1C, UGT1A1, UGT1A7, AWAT2, UGT1A6, UGT1A10, RDH10, DHRS3, UGT1A9, UGT1A8, UGT1A3, UGT1A5, UGT1A4, CYP26B1, AOX1, CYP2A6, UGT2B15	717	64	6879	2.6983525104602513	0.054254135577505136	0.01842199790824728	0.2679236905832383
KEGG_PATHWAY	hsa00053:Ascorbate and aldarate metabolism	11	0.003895984302725064	2.27015267528247E-4	UGT1A7, UGT1A10, UGT1A6, UGT1A9, UGT1A8, UGT1A3, UGT1A5, UGT1A4, ALDH2, UGT2B15, UGT1A1	717	27	6879	3.908724624205796	0.060313758235848725	0.015431998527594248	0.2987511789346087
KEGG_PATHWAY	hsa05205:Proteoglycans in cancer	38	0.013458854863959311	3.276845683629915E-4	TNF, ERBB4, LUM, MRAS, WNT3A, TLR2, TIMP3, SDC2, IGF1R, ANK1, WNT3, CD44, GAB1, PRKACB, MSN, WNT6, TWIST2, AKT3, WNT8B, PRKCA, EGFR, PIK3CD, HSPG2, ESR1, IGF2, FZD5, FLNC, FZD7, ITPR1, KDR, PLAUR, CTSL, SDC1, PLCE1, ITGA5, WNT11, WNT9A, SLC9A1	717	200	6879	1.8228870292887027	0.08588627130019921	0.01779973652168676	0.43096741700420216
KEGG_PATHWAY	hsa00982:Drug metabolism - cytochrome P450	18	0.006375247040822832	4.453491918716863E-4	GSTA4, CYP2B6, ADH1C, UGT1A1, UGT1A7, UGT1A6, FMO5, UGT1A10, UGT1A9, UGT1A8, UGT1A3, ALDH1A3, UGT1A5, UGT1A4, AOX1, CYP2A6, UGT2B15, GSTP1	717	68	6879	2.539625892197883	0.11489841801886713	0.020136637550581815	0.5852994569408243
KEGG_PATHWAY	hsa05200:Pathways in cancer	63	0.02231336464287991	4.5008605341817845E-4	ADCY3, ADCY1, ADCY7, WNT3A, STAT5A, PPARG, ARNT2, TGFB3, LPAR3, GLI3, CXCL12, SHH, FLT3LG, WNT3, CDKN2B, CXCR4, PAX8, TGFA, PRKACB, GNG4, WNT6, AKT3, PRKCA, EGFR, AR, RET, PTGER3, PIK3CD, LEF1, RB1, DAPK2, CTNNA3, DAPK1, LAMC2, WNT11, WNT9A, GNB3, GSTP1, TRAF1, GNAI1, EGLN3, NFKBIA, KITLG, EGLN2, IGF1R, BCL2, RASGRP1, NKX3-1, RUNX1, TRAF5, WNT8B, COL4A4, BMP2, COL4A2, COL4A1, EPAS1, TGFBR1, TGFBR2, SMAD3, FZD5, FZD7, LAMA2, LAMA1	717	393	6879	1.53799227059312	0.11604696013335492	0.017467267243704954	0.5915078188235778
KEGG_PATHWAY	hsa00983:Drug metabolism - other enzymes	14	0.004958525476195536	5.900021831133947E-4	UGT1A7, UGT1A10, UGT1A6, UGT1A9, UGT1A8, CES1, UGT1A3, NAT1, UGT1A5, UGT1A4, CYP2A6, DPYD, UGT2B15, UGT1A1	717	46	6879	2.919956339821721	0.14931069152375354	0.02001061437792573	0.774727216497928
KEGG_PATHWAY	hsa04713:Circadian entrainment	22	0.007791968605450128	6.088081599393615E-4	PRKCA, ADCY3, ADCY1, ADCY7, NOS1AP, GNAI1, CACNA1I, ITPR1, RPS6KA5, GRIN2B, GRIA2, GRIN2D, GUCY1A2, RYR2, GUCY1A3, CALML6, GUCY1B3, GNB3, PER3, PRKACB, GNG4, CALM1	717	95	6879	2.221801365338031	0.15368549668607734	0.018369653352084958	0.799329733950227
KEGG_PATHWAY	hsa00040:Pentose and glucuronate interconversions	11	0.003895984302725064	0.001397052784615596	UGT1A7, UGT1A10, UGT1A6, UGT1A9, UGT1A8, UGT1A3, UGT1A5, UGT1A4, AKR1B1, UGT2B15, UGT1A1	717	33	6879	3.198047419804742	0.3182280784309395	0.03758161410654226	1.8254783956315634
